,AAPL,KO,JNJ
0,1.8,1.79,1.5
1,276.6308310993895,95.65417884558566,441.57265718759515
2,276.5914966824279,95.61484442862398,614.3978038331277
3,276.5303671502348,95.55371489643089,787.002375750501
4,276.93948685405695,95.96283460025305,788.2822584001415
5,1378.4305486194614,103.13744064231571,846.0264311341548
6,1379.5137831258303,103.55063667204945,1657.3798364454046
7,1377.9371499281085,101.97400347432774,2467.260331864741
8,1377.2660662143974,101.30291976061665,3277.9130497448714
9,1399.7711821164696,100.9593036617986,4363.138044151738
10,1399.4119665465826,100.60008809191159,5173.861055351799
11,1400.7084922788345,101.89661382416338,5986.1833288428425
12,1398.8318553654944,100.01997691082349,5984.648190202242
13,2238.2141639393612,83.53182477316751,6007.422383359945
14,4493.5280534347185,81.80269936360311,6005.693257950381
15,4495.137395451849,82.14345985142522,7693.8115868109335
16,7384.398584924112,82.60425621581281,7694.892907829263
17,7397.665118353056,83.71151031536675,10735.167947355216
18,7397.603888228501,83.6502801908124,13507.815333581262
19,7398.361523955374,84.40791591768479,16281.232061077464
20,7398.846935429124,84.893327391435,16282.116283689047
